P,H,HS,T,RH,CC
0,2,0,-2.6,51,62
0,3,0,-2.3,50,59
0,4,0,-2.1,51,64
0,5,0,-1.8,50,58
0,6,0,-1.6,52,68
0,7,0,-1.6,54,67
0,8,0,-1.4,57,68
0,9,-3.25,-2.4,64,65
0.022775475,10,3.65,-2.5,66,71
0.0800147,11,9.11,-2.2,69,62
0.121163425,12,12.76,-1.6,70,75
0.2286425,13,14.29,-0.7,72,48
0.184007325,14,13.57,0.5,72,51
0.06943925,15,10.67,0.9,74,31
0.006259175,16,5.83,1.1,76,44
0,17,-0.59,0.8,79,33
0,18,0,0.7,82,59
0,19,0,0.6,84,55
0,20,0,0.6,87,81
0,21,0,0.4,92,100
0,22,0,1,93,100
0,23,0,1.4,95,100
0,0,0,1.7,95,100
0,1,0,1.8,96,100
0,2,0,2,97,100
0,3,0,2.1,98,100
0,4,0,2.3,98,100
0,5,0,2.6,98,92
0,6,0,2.9,98,95
0,7,0,3.1,99,95
0,8,0,3.2,99,96
0,9,-3.28,3.6,98,100
0.0019923,10,3.64,3.1,99,100
0.073823975,11,9.11,3.2,98,100
0.0876246,12,12.77,4,98,96
0.1046649,13,14.33,4.9,96,98
0.092127225,14,13.62,5.9,95,53
0.110196325,15,10.74,6.2,95,62
0.0124101,16,5.91,6.4,94,100
0,17,-0.5,6.3,95,100
0,18,0,6.1,96,87
0,19,0,6.1,96,100
0,20,0,6.2,96,100
0,21,0,7,94,100
0,22,0,7.3,94,100
0,23,0,7.5,95,100
0,0,0,7.4,96,100
0,1,0,7.3,96,73
0,2,0,7.2,96,20
0,3,0,6.9,96,21
0,4,0,7,95,20
0,5,0,7.1,95,23
0,6,0,7.6,95,65
0,7,0,7.7,94,39
0,8,0,7.7,94,57
0,9,0,7.2,96,62
0.00653955,10,3.63,7.8,96,47
0.0199993,11,9.12,8.2,96,92
0.047922275,12,12.8,8.7,95,100
0.0354693,13,14.37,9.2,94,100
0.130942225,14,13.68,9.6,93,100
0.15796995,15,10.81,8.9,85,100
0.05771525,16,5.99,8.3,84,94
0,17,-0.41,8,85,100
0,18,0,7.9,88,100
0,19,0,8.2,92,80
0,20,0,8.4,95,27
0,21,0,7.7,97,68
0,22,0,8.4,97,90
0,23,0,8.5,97,90
0,0,0,8.4,96,100
0,1,0,8.4,96,100
0,2,0,8.4,95,100
0,3,0,8.5,94,100
0,4,0,8.4,94,100
0,5,0,8.4,94,100
0,6,0,8.4,94,100
0,7,0,8.3,95,100
0,8,0,8.2,95,100
0,9,-3.31,8.2,95,100
0.000258075,10,3.63,8,96,100
0.090101725,11,9.13,7.9,96,100
0.129016475,12,12.83,8.2,95,87
0.078300275,13,14.42,8.5,94,90
0.029246525,14,13.75,8.7,92,53
0.00801525,15,10.89,8.8,91,100
0.0006442,16,6.09,8.6,94,100
0,17,-0.31,8.6,94,100
0,18,0,9.1,95,100
0,19,0,10.7,94,100
0,20,0,11.8,92,100
0,21,0,11.5,95,100
0,22,0,11.6,95,100
0,23,0,11.4,94,100
0,0,0,11.2,93,99
0,1,0,10.9,92,25
0,2,0,10.5,92,16
0,3,0,10.4,94,100
0,4,0,11,95,100
0,5,0,11.3,95,100
0,6,0,11.2,96,100
0,7,0,11.3,96,100
0,8,0,11.7,95,100
0,9,-3.32,11.9,94,100
0.010529425,10,3.63,12,93,69
0.078220775,11,9.15,12.1,91,100
0.093996875,12,12.87,12.2,91,100
0.0569673,13,14.47,12.4,89,100
0.142659675,14,13.82,12.6,89,100
0.117394375,15,10.98,12.7,89,100
0.0028214,16,6.18,12.7,90,100
0,17,-0.2,12.6,90,100
0,18,0,12.5,91,100
0,19,0,12.4,91,100
0,20,0,12.3,91,100
0,21,0,12.1,93,100
0,22,0,12.3,91,100
