P,H,HS,T,RH,CC
0,2,0,6.3,89,84
0,3,0,6.2,87,80
0,4,0,6.1,86,60
0,5,0,6,85,72
0,6,0,5.8,85,65
0,7,0,5.4,86,56
0,8,0,4.7,89,38
0,9,-3.31,4.6,93,48
0.0237,10,3.67,4.5,94,62
0.109125,11,9.23,5.1,95,93
0.196575,12,12.98,5.9,95,68
0.24255,13,14.63,6.5,93,56
0.182265,14,14.02,7.1,90,85
0.12747,15,11.2,7.2,89,74
0.06588,16,6.43,7.2,88,91
0,17,0.06,7.1,87,96
0,18,0,6.6,87,79
0,19,0,6.8,87,79
0,20,0,7.3,89,100
0,21,0,8.3,91,100
0,22,0,9,92,100
0,23,0,9.5,91,100
0,0,0,9.3,90,68
0,1,0,8.7,79,44
0,2,0,8,73,37
0,3,0,7,72,43
0,4,0,6.4,72,20
0,5,0,6.2,67,28
0,6,0,6,64,26
0,7,0,5.7,64,38
0,8,0,5.6,64,42
0,9,-3.29,5.1,66,48
0.01755,10,3.7,5,67,32
0.09429,11,9.27,5.2,67,23
0.14706,12,13.05,5.7,67,39
0.165585,13,14.71,6,66,47
0.15504,14,14.12,6.1,66,37
0.119475,15,11.31,6.1,65,32
0.064125,16,6.55,6.1,65,37
0,17,0.18,6,65,39
0,18,0,5.9,65,58
0,19,0,5.9,67,68
0,20,0,5.8,68,43
0,21,0,6,59,57
0,22,0,6,59,54
0,23,0,6.1,62,60
0,0,0,6,68,46
0,1,0,5.9,72,62
0,2,0,5.8,72,58
0,3,0,5.9,72,52
0,4,0,5.8,75,65
0,5,0,5.9,78,70
0,6,0,6.1,80,73
0,7,0,6.1,81,39
0,8,0,6,82,38
0,9,-3.27,6.1,85,26
0.020325,10,3.74,6,87,30
0.10488,11,9.33,6.3,87,35
0.165585,12,13.12,7,85,33
0.16308,13,14.8,7.6,84,50
0.11319,14,14.22,7.9,82,86
0.08196,15,11.43,7.8,83,68
0.04698,16,6.68,7.7,84,54
0.00042,17,0.32,7.4,85,43
0,18,0,7,87,21
0,19,0,7.2,87,16
0,20,0,7.3,86,15
0,21,0,7.2,86,16
0,22,0,7.3,85,29
0,23,0,7.3,86,51
0,0,0,7.6,86,61
0,1,0,7.7,86,56
0,2,0,7.7,85,87
0,3,0,7.5,85,97
0,4,0,7.7,83,90
0,5,0,7.8,81,84
0,6,0,7.7,82,61
0,7,0,7.8,83,74
0,8,0,8,82,85
0,9,0,8,82,95
0.008415,10,3.78,8,82,93
0.068055,11,9.39,8.1,82,91
0.09855,12,13.2,8.3,81,100
0.15846,13,14.9,8.4,81,100
0.13833,14,14.33,8.5,80,100
0.096,15,11.56,8.6,79,100
0.039045,16,6.81,8.3,81,100
0,17,0.45,8.1,82,100
0,18,0,8.1,83,100
0,19,0,8.2,84,100
0,20,0,8.2,86,100
0,21,0,7.7,87,100
0,22,0,7.8,91,100
0,23,0,7.9,92,100
0,0,0,8,93,100
0,1,0,8,92,100
0,2,0,7.8,88,100
0,3,0,7.2,84,27
0,4,0,6.1,84,13
0,5,0,5.5,85,9
0,6,0,5,87,6
0,7,0,4.4,89,4
0,8,0,4.1,91,8
0,9,-3.21,4,92,66
0.03585,10,3.83,4.1,92,62
0.167295,11,9.45,4.6,92,53
0.24837,12,13.28,5.3,91,76
0.21621,13,15,5.8,91,93
0.187845,14,14.45,6,90,87
0.17436,15,11.69,6.2,90,94
0.0765,16,6.95,6.5,88,77
0,17,0.6,6.3,87,87
0,18,0,6.1,87,71
0,19,0,6.1,87,100
0,20,0,6.3,87,100
0,21,0,6.4,88,100
0,22,0,6.9,87,100
0,23,0,7,86,100
0,0,0,7.1,89,100
0,1,0,7.3,89,100
0,2,0,7.7,89,72
0,3,0,7.9,86,33
0,4,0,7.7,86,27
0,5,0,7.4,85,15
0,6,0,7.1,84,8
0,7,0,6.7,84,15
0,8,0,6.3,85,36
0,9,-3.16,6.2,85,40
0.03021,10,3.89,5.9,87,6
0.14295,11,9.53,6,88,35
0.152505,12,13.38,6.7,86,14
0.16323,13,15.11,7.5,84,2
0.150375,14,14.58,7.9,83,2
0.12918,15,11.83,8.1,81,1
0.070275,16,7.1,8,82,2
0.0018,17,0.75,7.5,85,2
0,18,0,7,88,5
0,19,0,7,89,8
0,20,0,7.2,88,13
0,21,0,7.8,85,31
0,22,0,7.7,88,40
0,23,0,7.7,91,100
0,0,0,8.6,90,100
0,1,0,9.1,90,100
0,2,0,9.5,89,100
0,3,0,9.6,87,100
0,4,0,9.6,86,100
0,5,0,9.5,84,100
0,6,0,9.5,83,100
0,7,0,9.5,83,100
0,8,0,9.7,82,100
0,9,-3.11,10,82,100
0.009975,10,3.95,10.2,82,100
0.05271,11,9.61,10.5,82,100
0.129915,12,13.48,10.8,82,100
0.15699,13,15.23,11.1,81,95
0.17925,14,14.71,11.1,81,100
0.155595,15,11.97,11.2,80,86
0.086805,16,7.25,11.3,80,93
0.000135,17,0.9,11.2,79,76
0,18,0,10.9,80,71
0,19,0,10.8,79,71
0,20,0,10.6,80,67
0,21,0,10.6,80,75
0,22,0,10.6,80,89
0,23,0,10.4,82,91
0,0,0,10.3,83,100
0,1,0,10.4,83,100
0,2,0,10.4,82,100
0,3,0,10.4,80,100
0,4,0,10,79,97
0,5,0,9.6,77,58
0,6,0,9.4,74,56
0,7,0,9.3,68,55
0,8,0,9.4,63,77
0,9,-3.06,9.4,67,100
0,10,4.02,10,68,100
0.023565,11,9.7,10.5,73,100
0.111345,12,13.59,10.8,75,41
0.134535,13,15.36,10.4,71,50
0.156855,14,14.86,10.1,64,21
0.12909,15,12.12,9.7,62,63
0.070185,16,7.41,9,61,27
0.002865,17,1.07,8.6,58,28
0,18,0,8.2,55,46
0,19,0,7.9,57,17
0,20,0,7.6,58,9
0,21,0,7.2,59,22
0,22,0,7,59,8
0,23,0,6.9,62,10
0,0,0,6.6,66,8
0,1,0,6.4,69,5
0,2,0,6.3,71,10
